Training Epoch: [0][0/22]	Training Loss: 0.037348
Training Epoch: [0][1/22]	Training Loss: 0.038094
Training Epoch: [0][2/22]	Training Loss: 0.036451
Training Epoch: [0][3/22]	Training Loss: 0.032338
Training Epoch: [0][4/22]	Training Loss: 0.029171
Training Epoch: [0][5/22]	Training Loss: 0.032267
Training Epoch: [0][6/22]	Training Loss: 0.038695
Training Epoch: [0][7/22]	Training Loss: 0.035320
Training Epoch: [0][8/22]	Training Loss: 0.033999
Training Epoch: [0][9/22]	Training Loss: 0.040075
Training Epoch: [0][10/22]	Training Loss: 0.035244
Training Epoch: [0][11/22]	Training Loss: 0.031393
Training Epoch: [0][12/22]	Training Loss: 0.032408
Training Epoch: [0][13/22]	Training Loss: 0.029831
Training Epoch: [0][14/22]	Training Loss: 0.031656
Training Epoch: [0][15/22]	Training Loss: 0.031266
Training Epoch: [0][16/22]	Training Loss: 0.030283
Training Epoch: [0][17/22]	Training Loss: 0.030913
Training Epoch: [0][18/22]	Training Loss: 0.030264
Training Epoch: [0][19/22]	Training Loss: 0.032007
Training Epoch: [0][20/22]	Training Loss: 0.030747
Training Epoch: [0][21/22]	Training Loss: 0.030621
Training Epoch: [0][22/22]	Training Loss: 0.029166
Validation Loss: 0.002194 	Validation Acc.: 60.586319
best accuracy: 60.586319218241044
Training Epoch: [1][0/22]	Training Loss: 0.029739
Training Epoch: [1][1/22]	Training Loss: 0.030040
Training Epoch: [1][2/22]	Training Loss: 0.029345
Training Epoch: [1][3/22]	Training Loss: 0.028157
Training Epoch: [1][4/22]	Training Loss: 0.028921
Training Epoch: [1][5/22]	Training Loss: 0.029241
Training Epoch: [1][6/22]	Training Loss: 0.029012
Training Epoch: [1][7/22]	Training Loss: 0.028027
Training Epoch: [1][8/22]	Training Loss: 0.029042
Training Epoch: [1][9/22]	Training Loss: 0.030120
Training Epoch: [1][10/22]	Training Loss: 0.029093
Training Epoch: [1][11/22]	Training Loss: 0.029905
Training Epoch: [1][12/22]	Training Loss: 0.028076
Training Epoch: [1][13/22]	Training Loss: 0.027433
Training Epoch: [1][14/22]	Training Loss: 0.026105
Training Epoch: [1][15/22]	Training Loss: 0.029014
Training Epoch: [1][16/22]	Training Loss: 0.029359
Training Epoch: [1][17/22]	Training Loss: 0.027439
Training Epoch: [1][18/22]	Training Loss: 0.027518
Training Epoch: [1][19/22]	Training Loss: 0.025383
Training Epoch: [1][20/22]	Training Loss: 0.025393
Training Epoch: [1][21/22]	Training Loss: 0.026482
Training Epoch: [1][22/22]	Training Loss: 0.029225
Validation Loss: 0.001984 	Validation Acc.: 63.192182
best accuracy: 63.192182410423456
Training Epoch: [2][0/22]	Training Loss: 0.025029
Training Epoch: [2][1/22]	Training Loss: 0.025826
Training Epoch: [2][2/22]	Training Loss: 0.026845
Training Epoch: [2][3/22]	Training Loss: 0.026120
Training Epoch: [2][4/22]	Training Loss: 0.025905
Training Epoch: [2][5/22]	Training Loss: 0.027648
Training Epoch: [2][6/22]	Training Loss: 0.025975
Training Epoch: [2][7/22]	Training Loss: 0.026928
Training Epoch: [2][8/22]	Training Loss: 0.027187
Training Epoch: [2][9/22]	Training Loss: 0.027229
Training Epoch: [2][10/22]	Training Loss: 0.026067
Training Epoch: [2][11/22]	Training Loss: 0.028008
Training Epoch: [2][12/22]	Training Loss: 0.030937
Training Epoch: [2][13/22]	Training Loss: 0.027637
Training Epoch: [2][14/22]	Training Loss: 0.025925
Training Epoch: [2][15/22]	Training Loss: 0.026283
Training Epoch: [2][16/22]	Training Loss: 0.027323
Training Epoch: [2][17/22]	Training Loss: 0.023477
Training Epoch: [2][18/22]	Training Loss: 0.025150
Training Epoch: [2][19/22]	Training Loss: 0.021412
Training Epoch: [2][20/22]	Training Loss: 0.023870
Training Epoch: [2][21/22]	Training Loss: 0.025389
Training Epoch: [2][22/22]	Training Loss: 0.022136
Validation Loss: 0.001856 	Validation Acc.: 69.381107
best accuracy: 69.38110749185668
Training Epoch: [3][0/22]	Training Loss: 0.020318
Training Epoch: [3][1/22]	Training Loss: 0.026031
Training Epoch: [3][2/22]	Training Loss: 0.026997
Training Epoch: [3][3/22]	Training Loss: 0.022331
Training Epoch: [3][4/22]	Training Loss: 0.021109
Training Epoch: [3][5/22]	Training Loss: 0.023185
Training Epoch: [3][6/22]	Training Loss: 0.026854
Training Epoch: [3][7/22]	Training Loss: 0.024801
Training Epoch: [3][8/22]	Training Loss: 0.024082
Training Epoch: [3][9/22]	Training Loss: 0.022639
Training Epoch: [3][10/22]	Training Loss: 0.024276
Training Epoch: [3][11/22]	Training Loss: 0.026529
Training Epoch: [3][12/22]	Training Loss: 0.026260
Training Epoch: [3][13/22]	Training Loss: 0.023502
Training Epoch: [3][14/22]	Training Loss: 0.026011
Training Epoch: [3][15/22]	Training Loss: 0.022776
Training Epoch: [3][16/22]	Training Loss: 0.023486
Training Epoch: [3][17/22]	Training Loss: 0.023376
Training Epoch: [3][18/22]	Training Loss: 0.021057
Training Epoch: [3][19/22]	Training Loss: 0.022820
Training Epoch: [3][20/22]	Training Loss: 0.022471
Training Epoch: [3][21/22]	Training Loss: 0.026885
Training Epoch: [3][22/22]	Training Loss: 0.019951
Validation Loss: 0.001681 	Validation Acc.: 75.570033
best accuracy: 75.57003257328991
Training Epoch: [4][0/22]	Training Loss: 0.019815
Training Epoch: [4][1/22]	Training Loss: 0.020109
Training Epoch: [4][2/22]	Training Loss: 0.023900
Training Epoch: [4][3/22]	Training Loss: 0.027845
Training Epoch: [4][4/22]	Training Loss: 0.020726
Training Epoch: [4][5/22]	Training Loss: 0.022929
Training Epoch: [4][6/22]	Training Loss: 0.018483
Training Epoch: [4][7/22]	Training Loss: 0.018911
Training Epoch: [4][8/22]	Training Loss: 0.021367
Training Epoch: [4][9/22]	Training Loss: 0.022939
Training Epoch: [4][10/22]	Training Loss: 0.021042
Training Epoch: [4][11/22]	Training Loss: 0.020964
Training Epoch: [4][12/22]	Training Loss: 0.019347
Training Epoch: [4][13/22]	Training Loss: 0.019969
Training Epoch: [4][14/22]	Training Loss: 0.018977
Training Epoch: [4][15/22]	Training Loss: 0.024006
Training Epoch: [4][16/22]	Training Loss: 0.020127
Training Epoch: [4][17/22]	Training Loss: 0.020541
Training Epoch: [4][18/22]	Training Loss: 0.017602
Training Epoch: [4][19/22]	Training Loss: 0.017076
Training Epoch: [4][20/22]	Training Loss: 0.019015
Training Epoch: [4][21/22]	Training Loss: 0.020071
Training Epoch: [4][22/22]	Training Loss: 0.028177
Validation Loss: 0.001373 	Validation Acc.: 85.993485
best accuracy: 85.99348534201954
Training Epoch: [5][0/22]	Training Loss: 0.016925
